n,pi,E_mod
5463,663,636.488
5464,647,636.592
5465,651,636.695
5466,661,636.798
5467,638,636.902
5469,650,636.992
5471,669,637.315
5472,662,637.419
5474,664,637.567
5475,642,637.671
5476,643,637.774
5477,644,637.994
5478,656,638.039
5480,643,638.363
5482,657,638.570
5484,673,638.893
5485,644,638.997
5488,651,639.249
5489,644,639.294
5490,659,639.397
5493,644,639.649
5495,652,639.856
5496,651,639.901
5497,642,640.005
5500,642,640.315
5502,656,640.580
5504,647,640.903
5506,645,641.110
5507,666,641.330
5509,643,641.537
5512,653,641.847
5514,659,641.996
5519,643,642.629
5521,650,642.953
5524,653,643.205
5525,655,643.309
5526,656,643.412
5528,659,643.677
5529,644,643.723
5530,651,643.826
5531,660,644.046
5532,645,644.150
5533,654,644.253
5535,659,644.344
5536,677,644.447
5537,663,644.551
5539,646,644.758
5543,652,645.055
5549,658,645.617
5550,661,645.721
5552,650,645.927
5554,652,646.134
5555,656,646.237
5556,665,646.282
5558,654,646.547
5559,648,646.592
5562,650,646.902
5567,649,647.477
5569,657,647.800
5574,661,648.375
5577,650,648.686
5578,649,648.789
5579,664,648.834
5580,663,648.879
5585,657,649.454
5588,660,649.648
5589,651,649.751
5592,665,650.178
5593,682,650.281
5595,666,650.488
5597,683,650.694
5599,656,650.843
5602,657,651.152
5605,655,651.462
5607,654,651.611
5613,656,652.230
5616,655,652.539
5617,664,652.643
5618,682,652.746
5619,654,652.791
5622,662,653.042
5623,654,653.262
5625,655,653.410
5627,675,653.616
5628,658,653.661
5629,659,653.764
5636,668,654.370
5639,680,654.737
5640,660,654.840
5642,666,655.162
5643,672,655.208
5644,660,655.311
5645,666,655.414
5651,659,656.207
5652,658,656.310
5653,657,656.529
5654,670,656.632
5656,676,656.781
5663,678,657.619
5665,666,657.768
5666,707,657.871
5669,681,658.297
5670,669,658.400
5677,686,659.006
5678,663,659.110
5680,662,659.316
5682,679,659.522
5683,671,659.741
5686,663,659.993
5688,677,660.199
5691,679,660.567
5693,667,660.889
5696,680,661.141
5698,705,661.348
5701,665,661.715
5703,664,661.922
5704,664,662.025
5706,664,662.173
5707,673,662.276
5708,673,662.380
5710,676,662.586
5715,686,663.160
5717,667,663.482
5718,681,663.528
5722,676,663.882
5725,674,664.134
5726,671,664.237
5730,670,664.649
5731,666,664.753
5734,684,665.004
5735,670,665.049
5738,680,665.474
5739,671,665.577
5740,686,665.680
5741,678,665.842
5748,673,666.506
5753,687,667.079
5755,684,667.286
5757,686,667.492
5758,670,667.595
5760,676,667.743
5762,669,667.949
5765,676,668.201
5766,691,668.304
5769,692,668.613
5772,671,668.922
5774,672,669.070
5776,682,669.218
5777,684,669.321
5778,670,669.424
5781,676,669.849
5783,675,670.170
5785,678,670.376
5791,683,671.053
5792,686,671.156
5793,677,671.201
5797,672,671.555
5800,680,671.806
5801,676,672.025
5802,674,672.128
5805,680,672.437
5807,682,672.758
5809,688,672.907
5810,679,672.952
5811,690,673.055
5814,677,673.480
5815,722,673.583
5818,681,673.834
5820,694,674.040
5823,680,674.465
5824,677,674.568
5831,686,675.347
5834,680,675.656
5839,677,676.229
5848,687,677.156
5853,687,677.787
5854,678,677.890
5864,684,679.037
5865,691,679.082
5867,681,679.404
5869,699,679.727
5870,680,679.830
5871,682,679.875
5872,683,679.978
5874,689,680.184
5875,693,680.288
5878,690,680.597
5880,687,680.919
5881,683,681.138
5882,683,681.241
5885,682,681.551
5889,693,681.848
5891,686,681.997
5896,713,682.454
5898,702,682.776
5903,700,683.292
5904,706,683.395
5905,704,683.498
5907,687,683.647
5909,719,683.853
5912,699,684.104
5913,686,684.149
5921,687,684.800
5923,688,685.122
5924,691,685.225
5928,702,685.752
5929,688,685.855
5934,701,686.255
5936,691,686.461
5937,690,686.564
5938,692,686.667
5941,697,687.091
5942,698,687.194
5943,692,687.240
5948,714,687.697
5949,699,687.800
5950,693,687.903
5953,690,688.269
5954,692,688.314
5958,693,688.726
5960,708,688.932
5961,693,688.977
5962,698,689.080
5969,701,689.627
5970,708,689.672
5977,698,690.333
5978,719,690.436
5981,705,690.802
5982,712,690.905
5986,709,691.200
5987,692,691.418
5992,698,691.874
5993,698,691.919
5999,723,692.536
6000,698,692.638
6001,715,692.741
6006,707,693.139
6007,706,693.357
6008,708,693.459
6010,702,693.665
6012,695,693.986
6014,703,694.191
6018,700,694.544
6020,704,694.692
6021,727,694.736
6023,730,694.942
6024,695,694.987
6027,737,695.294
6030,711,695.717
6033,700,696.025
6035,705,696.173
6037,698,696.436
6038,708,696.538
6039,705,696.641
6040,708,696.743
6042,710,696.948
6045,708,697.372
6048,728,697.737
6049,702,697.840
6053,700,698.251
6054,716,698.295
6057,710,698.546
6062,738,699.001
6063,706,699.103
6064,702,699.206
6066,705,699.411
6067,725,699.629
6070,708,699.937
6076,711,700.552
6077,710,700.655
6078,701,700.700
6080,726,700.963
6081,711,701.007
6083,714,701.213
6085,713,701.418
6087,702,701.623
6090,725,702.046
6091,730,702.264
6092,730,702.366
6093,713,702.469
6094,707,702.571
6097,703,702.879
6099,704,703.027
6105,713,703.642
6108,705,703.950
6111,716,704.258
6114,731,704.623
6115,710,704.726
6120,707,705.123
6121,718,705.341
6122,719,705.444
6123,710,705.546
6124,725,705.649
6126,728,705.739
6127,716,705.841
6131,721,706.309
6133,716,706.629
6135,716,706.776
6137,738,706.982
6139,712,707.129
6141,711,707.276
6142,709,707.379
6143,717,707.597
6150,718,708.199
6151,718,708.417
6156,723,708.929
6158,718,709.134
6161,715,709.384
6165,725,709.852
6167,711,710.057
6168,734,710.159
6169,713,710.262
6170,739,710.364
6172,716,710.511
6173,711,710.671
6178,735,711.184
6179,727,711.286
6182,716,711.594
6184,717,711.798
6185,726,711.901
6187,727,712.048
6188,730,712.093
6190,730,712.240
6194,736,712.650
6198,732,713.116
6200,720,713.379
6205,738,713.948
6212,722,714.665
6214,715,714.870
6216,720,715.017
6219,723,715.382
6220,717,715.484
6221,742,715.702
6222,718,715.804
6223,717,715.907
6224,727,716.009
6226,723,716.156
6228,737,716.304
6232,737,716.828
6233,732,716.931
6235,726,717.135
6238,722,717.385
6239,736,717.430
6240,721,717.532
6248,729,718.293
6251,727,718.543
6252,721,718.645
6254,734,718.850
6256,723,718.997
6257,728,719.214
6259,722,719.361
6262,733,719.668
6263,732,719.828
6264,731,719.930
6267,773,720.237
6268,743,720.339
6269,737,720.499
6270,731,720.544
6272,728,720.863
6275,723,721.113
6277,746,721.375
6280,736,721.682
6283,747,721.989
6285,738,722.136
6286,731,722.238
6288,742,722.500
6291,728,722.750
6293,756,722.954
6294,745,722.999
6298,738,723.408
6300,729,723.670
6305,737,724.239
6306,727,724.284
6307,727,724.386
6317,738,725.581
6322,735,725.978
6324,737,726.240
6330,740,726.853
6332,738,727.058
6333,733,727.160
6334,739,727.262
6335,732,727.307
6337,732,727.627
6339,735,727.831
6343,735,728.355
6345,775,728.502
6346,743,728.605
6348,744,728.752
6349,745,728.854
6350,739,728.956
6352,742,729.103
6353,731,729.321
6355,738,729.525
6361,739,730.254
6362,733,730.356
6363,745,730.458
6365,741,730.663
6366,733,730.765
6371,735,731.277
6375,743,731.801
6379,757,732.268
6380,741,732.370
6381,748,732.415
6382,740,732.517
6383,741,732.620
6385,736,732.824
6386,757,732.927
6389,752,733.348
6390,735,733.393
6392,750,733.598
6399,736,734.314
6401,749,734.519
6402,735,734.621
6404,744,734.768
6410,754,735.325
6414,757,735.619
6416,751,735.823
6417,752,735.925
6420,753,736.175
6425,746,736.800
6428,750,737.164
6429,740,737.267
6436,743,737.982
6437,762,738.084
6438,744,738.186
6441,745,738.493
6445,752,738.844
6446,745,738.889
6449,742,739.253
6451,741,739.572
6453,746,739.719
6455,750,739.866
6456,744,739.968
6457,748,740.070
6461,746,740.306
6462,746,740.408
6464,746,740.613
6466,746,740.817
6467,766,740.919
6472,758,741.486
6481,747,742.520
6483,744,742.667
6484,747,742.769
6486,754,742.915
6487,757,743.018
6491,765,743.426
6492,762,743.528
6494,748,743.732
6496,767,743.936
6499,789,744.242
6501,759,744.331
6503,777,744.478
6504,755,744.523
6506,752,744.727
6508,748,744.930
6509,762,745.032
6512,749,745.338
6514,749,745.542
6516,762,745.688
6517,753,745.790
6518,748,745.835
6520,747,746.039
6523,751,746.401
6526,748,746.650
6530,769,747.172
6531,748,747.216
6534,767,747.522
6537,762,747.827
6539,758,748.031
6541,750,748.234
6542,782,748.336
6545,754,748.642
6551,752,749.310
6552,758,749.412
6556,766,749.876
6560,755,750.226
6562,762,750.430
6563,769,750.589
6564,764,750.691
6565,751,750.793
6569,776,751.314
6571,753,751.633
6573,752,751.779
6580,767,752.492
6583,771,752.855
6584,769,752.957
6589,756,753.352
6591,778,753.499
6594,776,753.747
6595,769,753.849
6597,760,754.052
6598,763,754.154
6599,764,754.370
6600,777,754.472
6606,756,755.083
6611,758,755.592
6612,756,755.694
6613,758,755.796
6615,768,755.942
6617,757,756.146
6620,777,756.508
6622,765,756.712
6624,761,756.858
6626,766,757.062
6628,786,757.265
6629,768,757.310
6630,791,757.411
6631,763,757.513
6632,764,757.615
6636,781,757.964
6643,760,758.791
6646,772,759.039
6648,774,759.185
6653,794,759.807
6654,789,759.852
6658,766,760.201
6663,764,760.881
6664,788,760.983
6666,773,761.129
6667,766,761.231
6672,776,761.625
6675,772,762.044
6676,764,762.146
6677,784,762.247
6678,766,762.349
6679,773,762.565
6681,771,762.768
6682,771,762.870
6684,785,763.016
6685,776,763.118
6686,770,763.220
6689,778,763.639
6690,785,763.683
6692,770,764.001
6694,767,764.204
6697,782,764.509
6698,769,764.554
6704,784,765.335
6709,769,765.844
6711,785,765.990
6712,813,766.092
6713,775,766.194
6716,771,766.499
6717,773,766.601
6724,791,767.370
6725,774,767.414
6726,783,767.516
6728,781,767.662
6729,783,767.764
6731,792,767.910
6732,785,768.012
6734,797,768.272
6737,772,768.691
6740,806,768.939
6741,789,769.041
6742,786,769.143
6747,772,769.594
6751,807,769.943
6753,793,770.146
6755,771,770.350
6758,775,770.597
6760,772,770.800
6763,799,771.276
6764,787,771.378
6768,786,771.727
6770,789,771.930
6772,781,772.133
6774,797,772.337
6775,775,772.438
6776,789,772.483
6781,785,773.219
6782,776,773.320
6783,779,773.365
6785,790,773.568
6787,774,773.771
6795,784,774.698
6797,784,774.901
6804,777,775.669
6806,789,775.816
6809,792,776.064
6813,789,776.413
6817,789,776.762
6819,812,776.965
6826,816,777.733
6827,782,777.948
6829,781,778.265
6833,791,778.786
6837,791,779.135
6839,790,779.281
6840,788,779.326
6843,780,779.688
6846,785,779.879
6847,790,779.980
6848,803,780.025
6851,783,780.329
6855,802,780.621
6863,809,781.547
6865,796,781.693
6866,783,781.795
6868,785,781.998
6869,797,782.213
6870,796,782.315
6875,820,782.879
6877,787,783.082
6878,787,783.127
6882,801,783.419
6883,788,783.634
6886,785,783.939
6890,804,784.288
6891,813,784.389
6894,807,784.637
6899,787,785.201
6905,799,785.753
6906,791,785.854
6914,802,786.836
6916,794,786.982
6917,805,787.198
6918,794,787.299
6919,788,787.401
6925,797,787.953
6934,801,788.808
6935,810,788.910
6937,792,789.056
6940,800,789.246
6942,806,789.392
6945,794,789.696
6947,798,790.012
6948,794,790.113
6950,794,790.373
6952,798,790.519
6953,800,790.563
6955,799,790.766
6956,798,790.810
6960,792,791.273
6961,796,791.488
6963,815,791.690
6964,799,791.792
6965,828,791.836
6970,820,792.400
6975,834,793.020
6977,806,793.337
6984,813,794.047
6986,831,794.249
6987,821,794.351
6990,806,794.655
6991,811,794.870
6995,807,795.276
6997,796,795.592
7002,797,796.100
7003,818,796.201
7006,814,796.392
7011,802,796.899
7013,820,797.215
7014,827,797.260
7018,804,797.609
7023,800,798.229
7024,810,798.331
7026,803,798.477
7027,801,798.692
7029,827,798.838
7033,803,799.244
7034,828,799.345
7036,812,799.491
7040,814,799.953
7041,811,799.998
7042,805,800.099
7043,801,800.257
7046,805,800.562
7048,805,800.764
7053,832,801.215
7057,811,801.734
7060,842,802.038
7063,835,802.342
7066,809,802.646
7068,803,802.849
7069,821,803.064
7072,812,803.311
7074,823,803.457
7076,810,803.603
7079,820,803.964
7080,812,804.065
7085,814,804.572
7086,806,804.616
7090,808,804.965
7092,825,805.167
7094,818,805.370
7101,824,806.022
7103,808,806.281
7104,808,806.382
7107,810,806.686
7108,811,806.787
7110,832,807.047
7112,812,807.249
7114,816,807.452
7116,818,807.654
7118,814,807.857
7122,831,808.318
7123,835,808.420
7124,813,808.464
7126,821,808.610
7128,820,808.926
7129,831,809.141
7131,810,809.343
7138,817,810.052
7140,825,810.198
7141,814,810.299
7146,826,810.749
7148,815,810.951
7149,830,811.052
7155,816,811.716
7157,819,811.919
7159,815,812.234
7163,825,812.469
7165,839,812.672
7166,817,812.773
7167,834,812.874
7168,831,812.975
7176,827,813.671
7177,820,813.885
7180,832,814.189
7181,841,814.290
7183,828,814.492
7186,815,814.739
7190,819,815.257
7192,818,815.459
7193,831,815.617
7195,830,815.763
7196,822,815.864
7197,834,815.965
7198,825,816.066
7199,842,816.167
7202,836,816.414
7205,835,816.604
7212,818,817.425
7214,826,817.741
7215,849,817.785
7217,828,817.987
7219,829,818.246
7223,847,818.594
7226,826,818.841
7229,821,819.257
7232,829,819.504
7233,828,819.605
7235,834,819.807
7236,825,819.908
7237,823,820.123
7239,838,820.268
7241,843,820.471
7245,825,820.932
7249,840,821.450
7251,827,821.595
7253,843,821.911
7254,840,822.012
7255,828,822.113
7260,833,822.563
7264,856,822.967
7267,831,823.214
7270,839,823.460
7274,824,823.751
7278,829,824.042
7279,833,824.143
7282,827,824.333
7283,835,824.547
7285,837,824.749
7286,844,824.850
7290,867,825.254
7294,829,825.658
7295,847,825.702
7297,853,825.961
7299,827,826.163
7300,845,826.264
7303,843,826.566
7307,832,827.083
7309,830,827.399
7317,831,827.980
7320,831,828.226
7323,835,828.642
7324,829,828.743
7325,863,828.844
7329,851,829.135
7330,831,829.236
7335,851,829.910
7338,837,830.213
7340,846,830.415
7341,858,830.459
7342,841,830.560
7345,851,830.863
7351,840,831.638
7354,857,831.941
7356,833,832.086
7358,837,832.231
7366,847,832.925
7370,844,833.329
7371,839,833.430
7377,849,833.922
7380,838,834.167
7383,854,834.413
7384,857,834.514
7388,874,834.861
7390,851,835.005
7391,865,835.050
7398,837,835.811
7400,843,836.013
7406,838,836.560
7412,881,837.221
7414,838,837.365
7417,845,837.724
7418,839,837.825
7419,843,837.925
7420,859,838.026
7421,845,838.070
7422,847,838.171
7426,842,838.517
7428,841,838.718
7431,854,839.020
7437,851,839.623
7439,847,839.768
7442,859,840.070
7445,852,840.259
7454,867,841.220
7457,849,841.634
7458,858,841.735
7461,863,842.093
7463,847,842.294
7465,861,842.439
7466,853,842.539
7467,861,842.640
7470,843,842.885
7471,856,842.986
7472,846,843.086
7481,857,844.047
7482,859,844.148
7484,847,844.292
7487,857,844.707
7488,855,844.807
7489,851,845.021
7490,857,845.121
7491,852,845.165
7492,851,845.266
7494,868,845.467
7495,860,845.567
7498,849,845.869
7500,860,846.183
7501,848,846.284
7503,858,846.485
7505,848,846.686
7506,849,846.730
7515,860,847.635
7518,871,848.050
7520,867,848.251
7523,889,848.665
7526,855,848.911
7527,857,849.011
7528,869,849.112
7529,873,849.325
7530,869,849.369
7534,871,849.772
7536,857,849.916
7542,874,850.633
7545,876,850.878
7549,867,851.506
7554,865,851.896
7555,870,851.997
7557,883,852.198
7560,853,852.556
7564,867,853.072
7566,877,853.217
7568,866,853.361
7569,888,853.406
7572,887,853.707
7575,866,854.066
7578,866,854.480
7582,864,854.826
7583,862,855.040
7585,858,855.241
7587,859,855.386
7593,863,856.159
7599,858,856.650
7601,860,856.851
7606,866,857.467
7607,864,857.681
7610,858,857.926
7617,875,858.518
7618,864,858.619
7619,867,858.719
7620,861,858.764
7624,883,859.279
7625,864,859.379
7631,862,859.870
7632,865,859.971
7633,876,860.071
7636,871,860.260
7639,887,860.618
7641,869,860.819
7648,869,861.523
7649,892,861.680
7651,865,861.881
7652,877,861.982
7654,878,862.127
7656,869,862.271
7657,891,862.372
7660,878,862.617
7662,881,862.818
7664,886,862.963
7666,883,863.107
7668,885,863.308
7669,893,863.521
7672,879,863.823
7674,872,864.080
7679,867,864.526
7682,868,864.884
7683,900,864.984
7686,872,865.229
7687,879,865.442
7691,875,865.844
7692,872,865.945
7699,886,866.705
7702,871,866.950
7708,893,867.609
7712,871,868.011
7714,880,868.156
7715,884,868.256
7719,870,868.714
7720,896,868.815
7721,876,868.859
7725,872,869.317
7731,889,869.976
7732,873,870.077
7735,887,870.322
7745,897,871.383
7750,873,871.772
7755,881,872.331
7756,895,872.431
7759,883,872.958
7760,899,873.058
7761,886,873.158
7765,886,873.504
7766,880,873.605
7767,874,873.705
7769,905,873.906
7771,896,874.051
7773,896,874.251
7775,885,874.396
7777,875,874.597
7780,876,874.842
7783,889,875.143
7785,908,875.287
7786,894,875.388
7787,878,875.488
7791,876,875.890
7793,901,876.203
7794,885,876.303
7797,884,876.604
7798,893,876.705
7799,882,876.805
7800,899,876.849
7805,882,877.295
7807,901,877.495
7809,878,877.640
7810,884,877.740
7811,880,877.840
7817,898,878.498
7823,889,879.044
7826,893,879.288
7827,885,879.389
7834,884,880.091
7837,882,880.335
7838,898,880.435
7839,881,880.479
7840,891,880.580
7843,901,880.936
7849,886,881.538
7852,893,881.838
7856,908,882.352
7862,897,882.953
7864,895,883.097
7866,886,883.185
7869,893,883.486
7870,884,883.586
7873,895,883.999
7875,908,884.143
7878,889,884.556
7879,899,884.768
7880,904,884.813
7882,924,885.013
7893,914,886.059
7894,894,886.160
7895,918,886.204
7899,895,886.548
7901,895,886.805
7916,890,888.251
7918,907,888.451
7922,912,888.964
7923,899,889.064
7925,896,889.264
7928,890,889.677
7931,915,889.921
7941,934,891.036
7948,907,891.624
7950,907,891.881
7952,895,892.193
7955,894,892.438
7959,906,892.726
7960,897,892.826
7961,906,892.870
7964,914,893.283
7966,905,893.483
7970,937,893.828
7971,898,893.928
7973,899,894.128
7977,895,894.528
7979,896,894.673
7983,912,895.073
7985,908,895.217
7986,907,895.261
7987,916,895.361
7989,916,895.561
7991,896,895.761
7992,929,895.861
7994,900,896.173
7995,910,896.217
7997,910,896.417
7999,897,896.617
8004,911,897.005
8006,908,897.205
8008,911,897.405
8012,920,898.029
8016,904,898.373
8017,936,898.586
8018,900,898.686
8023,904,899.186
8024,900,899.286
8025,919,899.386
8028,904,899.630
8030,904,899.774
8034,901,900.006
8039,901,900.561
8041,908,900.761
8051,904,901.536
8055,933,901.992
8058,911,902.291
8060,917,902.603
8063,924,902.847
8064,933,902.947
8066,910,903.146
8074,907,903.945
8076,940,904.145
8078,908,904.345
8079,918,904.445
8080,910,904.545
8083,920,904.956
8087,942,905.468
8088,927,905.568
8090,925,905.879
8091,944,905.923
8097,907,906.467
8101,908,906.979
8105,924,907.378
8111,909,907.978
8112,920,908.078
8114,922,908.222
8115,910,908.265
8117,912,908.577
8118,930,908.677
8121,933,908.977
8122,911,909.077
8123,916,909.289
8124,913,909.333
8126,939,909.476
8127,937,909.576
8134,930,910.220
8135,929,910.320
8138,933,910.563
8142,962,910.962
8143,918,911.062
8144,913,911.162
8147,944,911.574
8154,929,912.217
8160,941,912.759
8161,920,912.971
8164,944,913.271
8166,922,913.414
8171,920,914.081
8176,935,914.525
8177,931,914.625
8178,921,914.724
8180,922,914.980
8184,923,915.268
8189,917,915.767
8191,938,916.022
8195,917,916.421
8196,920,916.521
8197,933,916.621
8200,939,916.920
8202,951,917.120
8204,935,917.319
8205,924,917.363
8209,918,917.818
8210,926,917.862
8212,920,918.062
8213,940,918.106
8220,944,918.860
8224,930,919.315
8225,921,919.359
8228,922,919.602
8229,930,919.702
8230,933,919.801
8234,921,920.424
8236,926,920.624
8237,933,920.835
8239,922,920.979
8240,926,921.023
8241,933,921.123
8243,929,921.378
8246,923,921.622
8249,939,921.921
8253,931,922.320
8270,926,924.128
8271,926,924.227
8274,933,924.583
8275,931,924.683
8276,928,924.726
8280,937,925.070
8284,938,925.413
8286,929,925.556
8288,928,925.868
8289,938,925.967
8292,946,926.378
8296,940,926.889
8298,937,927.201
8299,942,927.300
8303,928,927.588
8305,937,927.787
8306,945,927.887
8307,937,927.987
8309,935,928.131
8314,943,928.741
8319,931,929.240
8323,935,929.639
8324,935,929.683
8326,942,929.827
8327,934,929.927
8329,932,930.182
8330,968,930.226
8333,942,930.525
8334,944,930.625
8340,954,931.167
8344,933,931.566
8345,934,931.610
8346,944,931.654
8348,954,931.853
8351,971,932.041
8356,952,932.650
8367,936,933.802
8372,952,934.357
8376,954,934.699
8377,937,934.911
8381,959,935.198
8384,938,935.497
8387,951,935.907
8390,952,936.318
8392,956,936.517
8394,944,936.661
8395,960,936.760
8396,943,936.860
8399,947,937.159
8400,938,937.258
8402,973,937.458
8405,943,937.701
8409,951,938.099
8411,953,938.243
8417,947,938.729
8418,945,938.828
8422,967,939.282
8426,940,939.792
8429,946,940.203
8431,953,940.513
8433,958,940.713
8434,962,940.812
8438,942,941.155
8439,949,941.199
8442,950,941.442
8446,944,941.896
8450,968,942.351
8451,966,942.394
8452,960,942.494
8453,947,942.594
8454,943,942.693
8456,972,942.892
8457,945,942.992
8461,956,943.446
8462,950,943.546
8466,947,943.833
8474,958,944.629
8476,958,944.828
8477,945,944.928
8480,955,945.226
8485,946,945.668
8487,977,945.867
8489,955,946.011
8490,971,946.054
8492,954,946.253
8495,951,946.496
8496,965,946.540
8497,983,946.639
8501,948,947.148
8502,980,947.248
8509,949,947.888
8516,979,948.473
8518,953,948.672
8521,953,949.025
8525,975,949.367
8527,962,949.622
8532,981,950.119
8534,952,950.318
8538,957,950.771
8543,975,951.491
8545,959,951.690
8546,960,951.733
8548,955,951.932
8559,956,952.859
8561,963,953.002
8565,964,953.511
8566,954,953.610
8569,955,953.852
8571,962,954.051
8576,974,954.659
8577,966,954.759
8578,957,954.858
8582,968,955.311
8583,957,955.355
8584,966,955.454
8585,957,955.554
8593,961,956.293
8595,966,956.380
8599,983,957.000
8608,994,957.727
8614,982,958.435
8623,973,959.328
8625,963,959.527
8627,969,959.837
8628,960,959.881
8631,961,960.290
8635,965,960.687
8636,968,960.787
8637,998,960.886
8642,964,961.494
8644,964,961.693
8646,976,961.780
8647,964,961.991
8653,984,962.531
8654,988,962.631
8664,989,963.568
8665,965,963.668
8669,978,964.120
8671,977,964.263
8672,998,964.363
8677,966,964.915
8682,982,965.467
8683,980,965.566
8685,971,965.765
8689,978,966.218
8695,968,966.758
8696,970,966.802
8697,969,966.901
8703,993,967.553
8705,980,967.751
8706,979,967.851
8708,993,968.105
8710,991,968.248
8715,1002,968.800
8716,982,968.900
8718,980,969.098
8725,974,969.794
8732,977,970.600
8738,986,971.140
8739,984,971.239
8741,979,971.494
8742,974,971.593
8747,982,972.090
8748,988,972.133
8749,981,972.233
8753,988,972.741
8762,991,973.635
8764,1008,973.834
8768,980,974.231
8772,995,974.572
8774,986,974.771
8775,990,974.815
8782,977,975.621
8784,1002,975.875
8788,978,976.217
8794,999,976.701
8802,981,977.384
8804,981,977.638
8807,987,978.047
8815,985,978.729
8816,1005,978.829
8823,1000,979.745
8826,999,980.043
8827,984,980.142
8833,981,980.738
8834,983,980.781
8837,990,981.190
8838,994,981.289
8841,1004,981.587
8844,989,981.885
8848,989,982.282
8851,992,982.691
8853,987,982.834
8860,1000,983.473
8861,987,983.683
8862,994,983.783
8864,990,984.037
8868,991,984.489
8869,987,984.589
8872,985,984.886
8873,1014,984.930
8876,1002,985.173
8881,999,985.613
8885,1014,986.010
8889,1012,986.518
8891,988,986.661
8892,1007,986.760
8893,989,986.970
8901,994,987.653
8905,996,987.995
8908,990,988.292
8909,1000,988.391
8911,1006,988.590
8916,1014,989.030
8920,991,989.316
8922,1005,989.514
8923,1022,989.724
8924,995,989.823
8927,991,990.065
8928,1006,990.164
8931,991,990.517
8932,1009,990.616
8936,1005,991.124
8937,997,991.223
8941,1000,991.675
8948,1017,992.314
8949,1006,992.413
8950,998,992.512
8957,1017,993.150
8958,1014,993.250
8960,1012,993.392
8965,1001,993.888
8966,1006,993.987
8967,998,994.086
8969,1012,994.340
8971,996,994.649
8972,998,994.748
8976,999,995.145
8979,997,995.331
8983,996,995.727
8985,1016,995.870
8986,1024,995.969
8991,1017,996.354
8992,1031,996.453
8998,1011,996.936
9000,1048,997.245
9001,998,997.455
9003,1001,997.653
9004,999,997.752
9005,1011,997.851
9006,1007,997.895
9008,1005,998.204
9013,1014,998.921
9014,1002,999.020
9018,1007,999.416
9020,1006,999.559
9022,1012,999.702
9024,1003,999.789
9025,1018,999.888
9030,1009,1000.384
9032,1018,1000.582
9034,1013,1000.780
9037,1018,1001.077
9041,1006,1001.528
9044,1007,1001.881
9046,1024,1002.079
9049,1015,1002.432
9051,1011,1002.630
9054,1005,1002.927
9055,1024,1003.026
9056,1009,1003.125
9057,1012,1003.224
9059,1030,1003.478
9062,1029,1003.719
9065,1010,1003.906
9078,1010,1005.138
9079,1017,1005.237
9081,1022,1005.435
9083,1016,1005.633
9085,1010,1005.775
9087,1008,1005.973
9090,1026,1006.215
9093,1038,1006.622
9098,1054,1007.062
9100,1026,1007.204
9102,1024,1007.402
9106,1012,1007.853
9109,1011,1008.206
9111,1023,1008.348
9124,1014,1009.523
9126,1032,1009.610
9128,1017,1009.863
9132,1023,1010.259
9137,1015,1010.919
9140,1021,1011.216
9142,1014,1011.414
9146,1012,1011.699
9150,1035,1012.039
9151,1025,1012.248
9154,1027,1012.490
9156,1024,1012.577
9158,1029,1012.885
9160,1051,1013.083
9162,1054,1013.391
9166,1022,1013.731
9171,1020,1014.170
9178,1017,1014.918
9180,1024,1015.115
9182,1024,1015.424
9189,1046,1016.061
9191,1048,1016.258
9197,1029,1016.851
9204,1023,1017.654
9207,1027,1017.895
9211,1026,1018.401
9216,1044,1018.785
9217,1036,1018.884
9222,1021,1019.378
9224,1039,1019.576
9226,1038,1019.718
9233,1043,1020.410
9236,1041,1020.706
9237,1038,1020.805
9240,1024,1021.157
9241,1039,1021.366
9243,1042,1021.564
9246,1026,1021.805
9247,1046,1021.904
9253,1026,1022.442
9255,1023,1022.639
9258,1028,1022.991
9259,1030,1023.090
9262,1052,1023.276
9264,1037,1023.473
9271,1039,1024.054
9275,1033,1024.449
9277,1048,1024.702
9288,1054,1026.009
9292,1033,1026.349
9294,1038,1026.602
9296,1040,1026.744
9297,1029,1026.843
9298,1030,1026.942
9301,1059,1027.238
9307,1066,1027.830
9309,1028,1027.973
9315,1040,1028.676
9320,1048,1029.224
9327,1032,1030.026
9328,1042,1030.125
9331,1035,1030.366
9335,1042,1030.706
9336,1035,1030.805
9338,1039,1031.113
9342,1045,1031.563
9344,1032,1031.871
9352,1033,1032.661
9354,1065,1032.859
9359,1043,1033.242
9360,1036,1033.341
9372,1044,1034.526
9374,1046,1034.668
9379,1049,1035.217
9382,1057,1035.513
9384,1059,1035.711
9389,1075,1036.149
9391,1040,1036.457
9392,1055,1036.556
9393,1077,1036.599
9396,1053,1036.840
9402,1056,1037.432
9403,1040,1037.641
9413,1045,1038.739
9414,1061,1038.838
9418,1040,1039.233
9419,1041,1039.387
9423,1053,1039.892
9424,1045,1039.991
9426,1046,1040.188
9427,1047,1040.287
9428,1041,1040.386
9430,1067,1040.528
9433,1049,1041.045
9437,1044,1041.495
9439,1060,1041.804
9442,1075,1042.100
9446,1057,1042.495
9447,1043,1042.594
9449,1046,1042.737
9451,1060,1042.934
9455,1056,1043.274
9461,1047,1043.812
9466,1046,1044.416
9478,1055,1045.767
9479,1047,1045.921
9481,1053,1046.119
9487,1053,1046.657
9490,1078,1046.898
9494,1062,1047.404
9496,1061,1047.601
